ticker,name,sector,error,n_years_used,price,revenue,total_assets,current_ratio,total_debt,dividend_years_streak,eps_growth_over_period,P/E,P/B,score,max_score,company_type,na_criteria,fscore,eps_ttm,book_value_per_share,graham_number,margin_of_safety,score_ent,max_score_ent,enterprise_value,ebit,ebit_ev,gross_profitability,net_payout_yield,net_debt_to_ebitda,measurable,data_source,sec_fields,accruals,dollar_volume,next_earnings,share_class_of,crit_1_adequate_size,crit_2_earnings_stability,crit_3_financial_strength,crit_4_returns_capital,crit_5_cheap_ebit_ev,crit_6_gross_profitability,ent_1_financial_condition,ent_2_earnings_stability_5y,ent_3_pays_dividend_now,ent_4_earnings_higher_than_past,ent_5_price_under_120pct_net_assets,f_1_roa_positive,f_2_cfo_positive,f_3_roa_improving,f_4_cfo_above_income,f_5_leverage_down,f_6_current_ratio_up,f_7_no_new_shares,f_8_gross_margin_up,f_9_asset_turnover_up,beneish_m,beneish_flag,altman_z,altman_flag,momentum_12_1,accruals_yf,red_flag,rank_bucket,rank_basis,quality_score,accruals_flag,liquidity_flag
MMS,"Maximus, Inc.",Industrials,,4,52.61,5431276000.0,4366779000.0,2.420643031903833,1636935000.0,22,,7.782544,1.5825888,6,6,industrial,,8,5.51,33.24326750448833,71.1073877748825,0.2601331360032943,3,5,4334524080.0,528289000.0,0.1194,0.3277,0.1874,2.772102505798673,True,sec,14,-0.0253,35078664.48,2026-11-19,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,False,True,True,True,True,-2.71,תקין,2.96,אזור אפור,-0.3279,-0.0271,,כלל השוק,ענף,62,,
MOH,Molina Healthcare Inc,Healthcare,,4,190.86,45426000000.0,16003000000.0,1.678961038961039,3769000000.0,0,,1272.3999,2.3794446,6,6,industrial,,4,8.92,80.21153846153847,16.453433849930615,-10.600010170570254,2,5,4816892288.0,781000000.0,0.1562,0.2618,0.1004,-5.272540983606557,True,sec,14,0.0629,186221338.56,2026-10-21,,True,True,True,True,True,True,True,True,False,False,False,True,False,False,False,False,True,True,False,True,-1.92,אזור אפור,4.32,תקין,0.0694,0.0647,,כלל השוק,ענף,65,,
MTDR,Matador Resources Company,Energy,,4,51.55,3656514000.0,13494566000.0,0.6501197782214726,4216410000.0,6,,8.8421955,1.0781811,6,6,industrial,,5,6.09,47.8121320665224,79.19431650651148,0.3490694500057782,3,5,10569621728.0,1226542000.0,0.113,0.143,0.0343,1.7300846442875428,True,sec,13,-0.1234,102077093.35,2026-10-27,,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True,False,True,False,False,-3.28,תקין,1.69,סיכון חדלות פירעון,0.1496,-0.1336,אלטמן,כלל השוק,ענף,45,,
NVR,"NVR, Inc.",Consumer Cyclical,,4,6297.6,10323959000.0,5470620000.0,5.67,1090254976.0,0,,16.368881,4.973449,6,6,industrial,,5,436.55,164.9789130118563,3310.762300991671,-0.9021601152440584,2,5,16778741760.0,1790767000.0,0.1067,0.4078,0.1087,-0.5376987007792092,True,sec,9,0.0399,218992742.4,2026-10-21,,True,True,True,True,True,True,True,True,False,False,False,True,True,False,False,False,True,True,False,True,-2.06,אזור אפור,12.63,תקין,-0.1946,0.0373,,Consumer Cyclical,ענף,45,,
PHM,"PulteGroup, Inc.",Consumer Cyclical,,4,119.85,17311953000.0,18263190000.0,7.272,43900000.0,14,,12.242084,1.7283647,6,6,industrial,,5,11.12,67.52487993538648,123.59016897141282,0.0302626738238213,3,5,21537980184.0,2911926000.0,0.1233,0.2534,0.0614,0.1816188953973456,True,sec,9,0.019,194064475.8,2026-10-22,,True,True,True,True,True,True,True,True,True,False,False,True,True,False,False,True,True,True,False,False,-2.47,תקין,6.0,תקין,0.01,0.0193,,Consumer Cyclical,ענף,43,,
PPC,Pilgrim's Pride Corporation,Consumer Defensive,,4,27.82,18497553000.0,10029924000.0,1.3552972635252674,2862272000.0,1,,12.148472,1.7665735,6,6,industrial,,6,4.54,15.78567586121016,28.48535921413572,0.0233579365853857,3,5,9097608200.0,1613539000.0,0.1777,0.228,0.3011,1.195068744395312,True,sec,15,-0.0288,43381923.78,2026-10-28,,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,False,False,False,True,-2.44,תקין,3.38,תקין,-0.2338,-0.0279,,Consumer Defensive,ענף,70,,
PRI,"Primerica, Inc.",Financial Services,,4,275.59,3291713000.0,14781939000.0,3.73,1804438016.0,17,,11.072318,3.375095,6,6,financial,,7,22.91,81.65428183053919,213.84171948722584,-0.2887569397629294,4,5,9648859136.0,998522000.0,0.1035,,0.0691,0.9342311131648332,True,sec,10,-0.0101,51967730.70999999,2026-11-04,,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,,True,,True,,לא רלוונטי,,לא רלוונטי,0.0987,-0.01,,Financial Services,ענף,40,לא רלוונטי,
SBH,"Sally Beauty Holdings, Inc. (Na",Consumer Cyclical,,4,17.18,3701424000.0,2883144000.0,2.3672691952163616,807567000.0,0,,8.947917,1.854891,6,6,industrial,,8,1.89,9.261935127322197,20.00295915109713,0.1411270767376583,3,5,2242897976.0,327810000.0,0.1111,0.6655,0.0336,1.4833318136866396,True,sec,14,-0.0274,22914615.28,2026-11-12,,True,True,True,True,True,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,-2.62,תקין,2.87,אזור אפור,0.069,-0.0275,,Consumer Cyclical,ענף,55,,
SIG,Signet Jewelers Limited,Consumer Cyclical,,4,102.26,6813600000.0,5587800000.0,1.6386493819716612,0.0,16,,11.876888,2.1398678,6,6,industrial,,8,7.08,47.43152454780362,96.21709601789668,-0.0628048884470523,3,5,3391521408.0,393100000.0,0.1116,0.4527,0.0656,-0.974472807991121,True,sec,14,-0.0688,87755441.60000001,2026-12-01,,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,-2.55,תקין,3.19,תקין,-0.1204,-0.0646,,Consumer Cyclical,ענף,45,,
SLVM,Sylvamo Corporation,Basic Materials,,4,35.96,3351000000.0,2875000000.0,1.4720744680851063,884000000.0,5,,19.229946,1.4986454,6,6,industrial,,5,3.24,23.99497487437186,31.77404214674545,-0.1317414332719171,3,5,2126778304.0,251000000.0,0.1044,0.266,0.1084,1.6209302325581396,True,sec,13,-0.0473,10596836.64,2026-11-06,,True,True,True,True,True,True,False,True,True,True,False,True,True,False,True,True,False,True,False,False,-2.61,תקין,3.41,תקין,-0.1391,-0.0492,,כלל השוק,ענף,50,,
SMP,"Standard Motor Products, Inc.",Consumer Cyclical,,4,37.69,1791158000.0,2060670000.0,2.0034166087877705,588827000.0,17,,9.59033,1.1730105,6,6,industrial,,8,1.84,29.98512368547574,53.30275678031002,0.2929071163178066,4,5,1349300976.0,136507000.0,0.0961,0.2804,0.0324,2.828854204208367,True,sec,14,-0.0074,6299883.5,2026-10-30,,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,False,True,True,-2.4,תקין,2.27,אזור אפור,-0.0657,0.0113,,Consumer Cyclical,ענף,22,,
